feature,coef
norm_superoxide_uM_per_viable_cell norm_nitrites_uM_per_viable_cell,2.795728118890431
norm_nitrites_uM_per_viable_cell norm_h2o2_uM_per_viable_cell,1.2531096613949535
norm_superoxide_uM_per_viable_cell norm_h2o2_uM_per_viable_cell,0.7008408407714802
norm_nitrites_uM_per_viable_cell norm_gsh_uM_per_viable_cell,0.39426025538638054
norm_nitrites_uM_per_viable_cell norm_gssg_uM_per_viable_cell,0.3747807109323361
norm_superoxide_uM_per_viable_cell norm_gsh_uM_per_viable_cell,0.0
norm_superoxide_uM_per_viable_cell norm_gssg_uM_per_viable_cell,0.0
norm_h2o2_uM_per_viable_cell norm_gsh_uM_per_viable_cell,0.0
norm_h2o2_uM_per_viable_cell norm_gssg_uM_per_viable_cell,0.0
norm_gsh_uM_per_viable_cell norm_gssg_uM_per_viable_cell,0.0
norm_gssg_uM_per_viable_cell,-5.411311609108516
norm_h2o2_uM_per_viable_cell,-5.7769587731237575
norm_nitrites_uM_per_viable_cell,-7.249352048349931
norm_gsh_uM_per_viable_cell,-9.848136483888807
norm_superoxide_uM_per_viable_cell,-10.270649126301192
